"Estacion","Fecha inicial","Fecha final","PM2.5"
"CAJICA - UMNG","2026-05-30","","6.35909091"
"CAJICA - UMNG","2026-05-29","","6.95333333"
"CAJICA - UMNG","2026-05-28","","3.84875"
"CAJICA - UMNG","2026-05-27","","4.87833333"
"CAJICA - UMNG","2026-05-26","","4.25916667"
"CAJICA - UMNG","2026-05-25","","4.31"
"CAJICA - UMNG","2026-05-24","","6.29833333"
"CAJICA - UMNG","2026-05-23","","4.12541667"
"CAJICA - UMNG","2026-05-22","","5.76208333"
"CAJICA - UMNG","2026-05-21","","8.10041667"
"CAJICA - UMNG","2026-05-20","","5.72"
"CAJICA - UMNG","2026-05-19","","5.16041667"
"CAJICA - UMNG","2026-05-18","","5.65708333"
"CAJICA - UMNG","2026-05-17","","4.94416667"
"CAJICA - UMNG","2026-05-16","","8.91375"
"CAJICA - UMNG","2026-05-15","","6.28458333"
"CAJICA - UMNG","2026-05-14","","7.28541667"
"CAJICA - UMNG","2026-05-13","","7.28333333"
"CAJICA - UMNG","2026-05-12","","4.97583333"
"CAJICA - UMNG","2026-05-11","","9.23"
"CAJICA - UMNG","2026-05-10","","17.25375"
"CAJICA - UMNG","2026-05-09","","21.0375"
"CAJICA - UMNG","2026-05-08","","10.20208333"
"CAJICA - UMNG","2026-05-07","","11.93083333"
"CAJICA - UMNG","2026-05-06","","12.54125"
"CAJICA - UMNG","2026-05-05","","9.5325"
"CAJICA - UMNG","2026-05-04","","7.0875"
"CAJICA - UMNG","2026-05-03","","9.93291667"
"CAJICA - UMNG","2026-05-02","","8.37583333"
"CAJICA - UMNG","2026-05-01","","11.3875"
"CAJICA - UMNG","2026-04-30","","7.42875"
"CAJICA - UMNG","2026-04-29","","8.02708333"
"CAJICA - UMNG","2026-04-28","","18.39666667"
"CAJICA - UMNG","2026-04-27","","14.85625"
"CAJICA - UMNG","2026-04-26","","11.04333333"
"CAJICA - UMNG","2026-04-25","","9.37625"
"CAJICA - UMNG","2026-04-24","","16.91708333"
"CAJICA - UMNG","2026-04-23","","17.50541667"
"CAJICA - UMNG","2026-04-22","","18.52458333"
"CAJICA - UMNG","2026-04-21","","13.35666667"
"CAJICA - UMNG","2026-04-20","","10.82958333"
"CAJICA - UMNG","2026-04-19","","10.61083333"
"CAJICA - UMNG","2026-04-18","","11.74125"
"CAJICA - UMNG","2026-04-17","","10.71791667"
"CAJICA - UMNG","2026-04-16","","17.50041667"
"CAJICA - UMNG","2026-04-15","","17.71833333"
"CAJICA - UMNG","2026-04-14","","15.70791667"
"CAJICA - UMNG","2026-04-13","","23.3725"
"CAJICA - UMNG","2026-04-12","","16.62375"
"CAJICA - UMNG","2026-04-11","","9.74416667"
"CAJICA - UMNG","2026-04-10","","7.95916667"
"CAJICA - UMNG","2026-04-09","","12.61375"
"CAJICA - UMNG","2026-04-08","","6.3475"
"CAJICA - UMNG","2026-04-07","","11.10291667"
"CAJICA - UMNG","2026-04-06","","14.85291667"
"CAJICA - UMNG","2026-04-05","","15.06958333"
"CAJICA - UMNG","2026-04-04","","20.64375"
"CAJICA - UMNG","2026-04-03","","16.70333333"
"CAJICA - UMNG","2026-04-02","","6.86416667"
"CAJICA - UMNG","2026-04-01","","16.65125"
"CAJICA - UMNG","2026-03-31","","13.35"
"CAJICA - UMNG","2026-03-30","","9.62583333"
"CAJICA - UMNG","2026-03-29","","22.19791667"
"CAJICA - UMNG","2026-03-28","","25.66708333"
"CAJICA - UMNG","2026-03-27","","36.27125"
"CAJICA - UMNG","2026-03-26","","43.73958333"
"CAJICA - UMNG","2026-03-25","","47.98666667"
"CAJICA - UMNG","2026-03-24","","44.13458333"
"CAJICA - UMNG","2026-03-23","","32.75"
"CAJICA - UMNG","2026-03-22","","14.8075"
"CAJICA - UMNG","2026-03-21","","11.85708333"
