"Estacion","Fecha inicial","Fecha final","PM2.5"
"CAJICA - UMNG","2026-05-30 10:00","2026-05-30 10:59","7.21"
"CAJICA - UMNG","2026-05-30 09:00","2026-05-30 09:59","6.75"
"CAJICA - UMNG","2026-05-30 08:00","2026-05-30 08:59","7.61"
"CAJICA - UMNG","2026-05-30 07:00","2026-05-30 07:59","8.6"
"CAJICA - UMNG","2026-05-30 06:00","2026-05-30 06:59","7.21"
"CAJICA - UMNG","2026-05-30 05:00","2026-05-30 05:59","6.0"
"CAJICA - UMNG","2026-05-30 04:00","2026-05-30 04:59","6.17"
"CAJICA - UMNG","2026-05-30 03:00","2026-05-30 03:59","5.34"
"CAJICA - UMNG","2026-05-30 02:00","2026-05-30 02:59","4.24"
"CAJICA - UMNG","2026-05-30 01:00","2026-05-30 01:59","4.97"
"CAJICA - UMNG","2026-05-30 00:00","2026-05-30 00:59","5.85"
"CAJICA - UMNG","2026-05-29 23:00","2026-05-29 23:59","5.4"
"CAJICA - UMNG","2026-05-29 22:00","2026-05-29 22:59","4.8"
"CAJICA - UMNG","2026-05-29 21:00","2026-05-29 21:59","3.95"
"CAJICA - UMNG","2026-05-29 20:00","2026-05-29 20:59","3.34"
"CAJICA - UMNG","2026-05-29 19:00","2026-05-29 19:59","2.43"
"CAJICA - UMNG","2026-05-29 18:00","2026-05-29 18:59","1.57"
"CAJICA - UMNG","2026-05-29 17:00","2026-05-29 17:59","1.73"
"CAJICA - UMNG","2026-05-29 16:00","2026-05-29 16:59","2.14"
"CAJICA - UMNG","2026-05-29 15:00","2026-05-29 15:59","3.21"
"CAJICA - UMNG","2026-05-29 14:00","2026-05-29 14:59","5.53"
"CAJICA - UMNG","2026-05-29 13:00","2026-05-29 13:59","8.71"
"CAJICA - UMNG","2026-05-29 12:00","2026-05-29 12:59","10.66"
"CAJICA - UMNG","2026-05-29 11:00","2026-05-29 11:59","10.75"
"CAJICA - UMNG","2026-05-29 10:00","2026-05-29 10:59","13.57"
"CAJICA - UMNG","2026-05-29 09:00","2026-05-29 09:59","18.23"
"CAJICA - UMNG","2026-05-29 08:00","2026-05-29 08:59","14.01"
"CAJICA - UMNG","2026-05-29 07:00","2026-05-29 07:59","7.54"
"CAJICA - UMNG","2026-05-29 06:00","2026-05-29 06:59","7.44"
"CAJICA - UMNG","2026-05-29 05:00","2026-05-29 05:59","8.1"
"CAJICA - UMNG","2026-05-29 04:00","2026-05-29 04:59","7.19"
"CAJICA - UMNG","2026-05-29 03:00","2026-05-29 03:59","6.49"
"CAJICA - UMNG","2026-05-29 02:00","2026-05-29 02:59","7.27"
"CAJICA - UMNG","2026-05-29 01:00","2026-05-29 01:59","6.81"
"CAJICA - UMNG","2026-05-29 00:00","2026-05-29 00:59","6.01"
"CAJICA - UMNG","2026-05-28 23:00","2026-05-28 23:59","6.09"
"CAJICA - UMNG","2026-05-28 22:00","2026-05-28 22:59","5.62"
"CAJICA - UMNG","2026-05-28 21:00","2026-05-28 21:59","4.88"
"CAJICA - UMNG","2026-05-28 20:00","2026-05-28 20:59","4.4"
"CAJICA - UMNG","2026-05-28 19:00","2026-05-28 19:59","3.14"
"CAJICA - UMNG","2026-05-28 18:00","2026-05-28 18:59","2.68"
"CAJICA - UMNG","2026-05-28 17:00","2026-05-28 17:59","2.61"
"CAJICA - UMNG","2026-05-28 16:00","2026-05-28 16:59","2.24"
"CAJICA - UMNG","2026-05-28 15:00","2026-05-28 15:59","2.1"
"CAJICA - UMNG","2026-05-28 14:00","2026-05-28 14:59","1.25"
"CAJICA - UMNG","2026-05-28 13:00","2026-05-28 13:59","0.73"
"CAJICA - UMNG","2026-05-28 12:00","2026-05-28 12:59","1.24"
"CAJICA - UMNG","2026-05-28 11:00","2026-05-28 11:59","2.2"
"CAJICA - UMNG","2026-05-28 10:00","2026-05-28 10:59","3.32"
"CAJICA - UMNG","2026-05-28 09:00","2026-05-28 09:59","6.43"
"CAJICA - UMNG","2026-05-28 08:00","2026-05-28 08:59","7.41"
"CAJICA - UMNG","2026-05-28 07:00","2026-05-28 07:59","4.04"
"CAJICA - UMNG","2026-05-28 06:00","2026-05-28 06:59","2.35"
"CAJICA - UMNG","2026-05-28 05:00","2026-05-28 05:59","3.9"
"CAJICA - UMNG","2026-05-28 04:00","2026-05-28 04:59","6.7"
"CAJICA - UMNG","2026-05-28 03:00","2026-05-28 03:59","6.63"
"CAJICA - UMNG","2026-05-28 02:00","2026-05-28 02:59","3.98"
